#,Пара,Dir,TF,Entry_Z,Current_Z,Entry_HR,Current_HR,HR_Drift_%,P&L_%,Hours_In,HL_hours,Hurst,P-value,Z_Toward_Zero,Exit_Signal,Entry_Time,Entry_P1,Entry_P2,Now_P1,Now_P2
291,ADA/HBAR,SHORT,4h,2.1161,-2.0342954503227304,2.840434,2.5086503420908097,11.7,-1.876,16.1,10.2,0.301,0.0074,True,⏰ В позиции 16ч = 1.6x HL. Если Z не вер,2026-03-25T18:09:40.031602+03:00,0.2726,0.0952,0.2617,0.09196
297,DOGE/POL,LONG,4h,-2.1866,-1.898814491196639,0.792459,0.7531800036417328,5.0,-1.3259,14.1,9.1,0.247,0.0026,True,⏰ В позиции 14ч = 1.6x HL. Если Z не вер,2026-03-25T20:06:41.018368+03:00,0.09666,0.09922,0.09257,0.096
298,VIRTUAL/XPL,LONG,4h,-2.205,-3.5534803198019556,4.196229,4.167586817891416,0.7,0.7273,14.1,7.7,0.23,0.0114,False,⏰ В позиции 14ч = 1.8x HL. Если Z не вер,2026-03-25T20:06:41.410814+03:00,0.7411,0.1006,0.6995,0.09785
299,CRV/HBAR,SHORT,4h,2.6316,-2.2224094922775466,2.577033,2.3122013011353086,10.3,-0.8653,13.1,9.8,0.308,0.0076,True,⏳ В позиции 13ч = 1.3x HL. Следите за Z.,2026-03-25T21:05:41.419207+03:00,0.2397,0.09475,0.2255,0.09196
300,LDO/ETHFI,LONG,4h,-2.6976,0.3809040242385168,0.437895,0.4295882634009408,1.9,-0.6446,13.1,8.8,0.264,0.0001,True,⏳ В позиции 13ч = 1.5x HL. Следите за Z.,2026-03-25T21:05:41.926290+03:00,0.2993,0.5585,0.2917,0.5306
301,ICP/ATOM,SHORT,4h,3.8049,-1.1410285487717198,0.885427,0.8819584784002479,0.4,-0.3742,12.1,5.7,0.121,0.0234,True,⏰ В позиции 12ч = 2.1x HL (6ч). Коинтегр,2026-03-25T22:06:42.005568+03:00,2.41,1.7727,2.349,1.723
302,LDO/IP,LONG,4h,-2.1248,-1.507671298821262,0.258544,0.2599089007281718,0.5,-2.0987,12.1,6.6,0.238,0.0001,True,⏰ В позиции 12ч = 1.8x HL. Если Z не вер,2026-03-25T22:06:46.215878+03:00,0.2991,0.646,0.2917,0.6376
303,SUI/NEAR,SHORT,4h,2.0546,-0.7641166674284551,0.565083,0.5646834348033528,0.1,0.1811,11.7,5.9,0.228,0.0045,True,⏰ В позиции 12ч = 2.0x HL. Если Z не вер,2026-03-25T22:33:53.419757+03:00,0.9664,1.2745,0.9397,1.2327
304,SUI/VIRTUAL,SHORT,4h,4.0415,1.0585284674139506,0.961508,0.955114465220639,0.7,-0.7768,10.7,7.0,0.177,0.0015,True,⏰ В позиции 11ч = 1.5x HL. Если Z не вер,2026-03-25T23:34:53.697038+03:00,0.9647,0.7246,0.9397,0.6995
305,DOT/IP,LONG,4h,-2.1169,-0.85092075464063,1.128618,1.113026370004872,1.4,-0.3726,8.6,9.8,0.248,0.0467,True,,2026-03-26T01:37:54.636299+03:00,1.3513,0.649,1.3253,0.6376
306,ONDO/MOODENG,SHORT,4h,2.3132,1.7818677014397448,3.522711,3.490020238820217,0.9,-2.3615,8.6,6.2,0.231,0.0007,True,⏳ В позиции 9ч = 1.4x HL. Следите за Z.,2026-03-26T01:37:55.051682+03:00,0.2636,0.04948,0.2624,0.04817
307,XRP/ONDO,LONG,4h,-2.3328,-1.138329134237851,4.737143,4.675306727465232,1.3,0.292,7.6,6.7,0.218,0.0001,True,⏳ В позиции 8ч = 1.1x HL. Следите за Z. ,2026-03-26T02:38:55.135537+03:00,1.4173,0.266,1.3827,0.2624
308,BNB/ZEC,LONG,4h,-2.0581,-1.129753620657873,1.841507,1.7217015271088876,6.5,1.0633,4.7,2.7,0.227,0.0001,True,📉 Best Z (since entry): +1.51 → now -1.1,2026-03-26T05:36:56.514999+03:00,644.9,232.34,634.3,225.02
309,LTC/BARD,LONG,4h,-2.1033,-4.8760553042267585,3.627999,3.6299451162667666,0.1,1.1481,4.7,8.0,0.203,0.0008,False,📉 Best Z (since entry): +0.37 → now -4.8,2026-03-26T05:36:56.951391+03:00,56.17,0.4446,55.29,0.4339
310,AXS/LIT,LONG,4h,-2.8035,-1.4218176000275258,0.220764,0.2215226462411388,0.3,-0.8455,3.7,6.1,0.182,0.0024,True,,2026-03-26T06:35:56.938090+03:00,1.101,0.9916,1.0881,0.9634
311,XRP/LIGHT,LONG,4h,-1.8049,-2.3308332772504454,0.80874,0.7992108155087482,1.2,-0.5772,3.7,10.7,0.318,0.002,False,,2026-03-26T06:35:57.456546+03:00,1.3999,0.1781,1.3827,0.1761
312,BNB/BCH,LONG,4h,-1.7605,-1.9683522724202664,0.787518,0.6661831005318177,15.4,-0.8269,3.7,3.2,0.057,0.0,False,⏳ В позиции 4ч = 1.2x HL. Следите за Z.,2026-03-26T06:36:56.993212+03:00,642.1,470.7,634.3,468.0
313,LINK/BARD,LONG,4h,-3.5029,-3.4914595769668333,1.124337,1.1233444665561558,0.1,-0.5119,0.7,8.0,0.223,0.0096,True,,2026-03-26T09:34:58.348558+03:00,9.092,0.4329,9.094,0.4339
